row_number,tribology_data_id,old_literature_id,new_literature_id,assigned_pdf,assigned_title,confidence,rationale
1,50,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
2,51,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
3,52,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
4,53,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
5,54,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
6,55,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
7,56,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
8,57,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
9,58,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
10,59,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
11,60,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
12,61,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
13,62,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
14,63,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
15,64,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
16,65,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
17,66,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
18,67,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
19,68,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
20,69,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
21,70,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
22,71,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
23,72,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
24,73,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
25,74,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
26,75,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
27,76,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
28,77,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
29,78,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
30,79,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
31,80,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
32,81,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
33,82,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
34,83,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
35,84,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
36,85,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
37,86,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
38,87,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
39,88,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
40,89,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
41,90,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
42,91,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
43,92,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
44,93,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
45,94,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
46,95,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
47,96,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
48,97,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
49,98,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,low,Current DB only preserved imported row markers; review PDF is the only local export source spanning these additive and protic-IL systems.
50,99,8,25,2016-Rutland-Tribotronic control of friction in oil-based lubricants with ionic liquid additives.pdf,Tribotronic control of friction in oil-based lubricants with ionic liquid additives,high,"Au(111) + [P6,6,6,14][(iC8)2PO2] in hexadecane with potential-controlled nanotribology matches the exported tribotronic gold study."
51,100,8,25,2016-Rutland-Tribotronic control of friction in oil-based lubricants with ionic liquid additives.pdf,Tribotronic control of friction in oil-based lubricants with ionic liquid additives,high,"Au(111) + [P6,6,6,14][(iC8)2PO2] in hexadecane with potential-controlled nanotribology matches the exported tribotronic gold study."
