delete_id,keep_id,reason,candidate_rows_deleted,material,lubricant,cof_value,potential,speed_value,temperature,delete_literature_id,keep_literature_id,delete_source,keep_source,delete_source_figure,keep_source_figure,delete_review_status,keep_review_status,delete_record_origin,keep_record_origin
58,70,duplicate row-import condition,0,stainless steel,"[P6,6,6,14][TFSI]",0.03526,0 V,1,298 K,76,76,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Row 9,Row 21,pending_review,pending_review,cached_record,cached_record
59,71,duplicate row-import condition,0,stainless steel,"[P6,6,6,14][TFSI]",0.03868,0 V,13,298 K,76,76,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Row 10,Row 22,pending_review,pending_review,cached_record,cached_record
60,72,duplicate row-import condition,0,stainless steel,"[P6,6,6,14][TFSI]",0.02764,0 V,65,298 K,76,76,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Row 11,Row 23,pending_review,pending_review,cached_record,cached_record
61,73,duplicate row-import condition,0,stainless steel,"[P6,6,6,14][TFSI]",0.03155,0 V,130,298 K,76,76,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Row 12,Row 24,pending_review,pending_review,cached_record,cached_record
62,74,duplicate row-import condition,0,stainless steel,"[P6,6,6,14][TFSI]",0.0248,4 V,1,298 K,76,76,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Row 13,Row 25,pending_review,pending_review,cached_record,cached_record
63,75,duplicate row-import condition,0,stainless steel,"[P6,6,6,14][TFSI]",0.03268,4 V,13,298 K,76,76,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Row 14,Row 26,pending_review,pending_review,cached_record,cached_record
64,76,duplicate row-import condition,0,stainless steel,"[P6,6,6,14][TFSI]",0.01277,4 V,65,298 K,76,76,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Row 15,Row 27,pending_review,pending_review,cached_record,cached_record
65,77,duplicate row-import condition,0,stainless steel,"[P6,6,6,14][TFSI]",0.0339,4 V,130,298 K,76,76,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Row 16,Row 28,pending_review,pending_review,cached_record,cached_record
66,78,duplicate row-import condition,0,stainless steel,"[P6,6,6,14][TFSI]",0.01295,-4 V,1,298 K,76,76,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Row 17,Row 29,pending_review,pending_review,cached_record,cached_record
67,79,duplicate row-import condition,0,stainless steel,"[P6,6,6,14][TFSI]",0.00102,-4 V,13,298 K,76,76,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Row 18,Row 30,pending_review,pending_review,cached_record,cached_record
68,80,duplicate row-import condition,0,stainless steel,"[P6,6,6,14][TFSI]",0.00093,-4 V,65,298 K,76,76,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Row 19,Row 31,pending_review,pending_review,cached_record,cached_record
69,81,duplicate row-import condition,0,stainless steel,"[P6,6,6,14][TFSI]",0.000288,-4 V,130,298 K,76,76,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,Row 20,Row 32,pending_review,pending_review,cached_record,cached_record
101,102,duplicate row-import condition,0,Au(111),"[P6,6,6,14][(iC8)2PO2] / hexadecane",0.46,0 V,6.5,298 K,25,25,Tribotronic control of friction in oil-based lubricants with ionic liquid additives,Tribotronic control of friction in oil-based lubricants with ionic liquid additives,Row 52,Row 53,pending_review,pending_review,,
175,401,row import superseded by grounded record,0,HOPG,"[P6,6,6,14][(iC8)2PO2]",0.013,1 V,6,298 K,18,75,Supporting Information for Potential-Dependent Superlubricity of Ionic Liquids on a Graphite Surface,Fig. 2A,Row 126,Fig. 2a,pending_review,approved,,review_promoted_candidate
176,399,row import superseded by grounded record,0,HOPG,"[P6,6,6,14][(iC8)2PO2]",0.002,0 V,6,298 K,18,75,Supporting Information for Potential-Dependent Superlubricity of Ionic Liquids on a Graphite Surface,Fig. 2A,Row 127,Fig. 2a,pending_review,approved,,review_promoted_candidate
177,400,row import superseded by grounded record,0,HOPG,"[P6,6,6,14][(iC8)2PO2]",0.002,-1 V,6,298 K,18,75,Supporting Information for Potential-Dependent Superlubricity of Ionic Liquids on a Graphite Surface,Fig. 2A,Row 128,Fig. 2a,pending_review,approved,,review_promoted_candidate
178,403,row import superseded by grounded record,0,HOPG,"[P6,6,6,14][BEHP]",0.012,1 V,6,298 K,18,75,Supporting Information for Potential-Dependent Superlubricity of Ionic Liquids on a Graphite Surface,Fig. 2B,Row 129,Fig. 2b,pending_review,approved,,review_promoted_candidate
179,402,row import superseded by grounded record,0,HOPG,"[P6,6,6,14][BEHP]",0.012,0 V,6,298 K,18,75,Supporting Information for Potential-Dependent Superlubricity of Ionic Liquids on a Graphite Surface,Fig. 2B,Row 130,Fig. 2b,pending_review,approved,,review_promoted_candidate
180,404,row import superseded by grounded record,0,HOPG,"[P6,6,6,14][BEHP]",0.002,-1 V,6,298 K,18,75,Supporting Information for Potential-Dependent Superlubricity of Ionic Liquids on a Graphite Surface,Fig. 2B,Row 131,Fig. 2b,pending_review,approved,,review_promoted_candidate
181,407,row import superseded by grounded record,0,HOPG,"[P6,6,6,14][TFSI]",0.004,1 V,6,298 K,18,75,Supporting Information for Potential-Dependent Superlubricity of Ionic Liquids on a Graphite Surface,Fig. 2C,Row 132,Fig. 2c,pending_review,approved,,review_promoted_candidate
182,405,row import superseded by grounded record,0,HOPG,"[P6,6,6,14][TFSI]",0.014,0 V,6,298 K,18,75,Supporting Information for Potential-Dependent Superlubricity of Ionic Liquids on a Graphite Surface,Fig. 2C,Row 133,Fig. 2c,pending_review,approved,,review_promoted_candidate
183,406,row import superseded by grounded record,0,HOPG,"[P6,6,6,14][TFSI]",0.006,-1 V,6,298 K,18,75,Supporting Information for Potential-Dependent Superlubricity of Ionic Liquids on a Graphite Surface,Fig. 2C,Row 134,Fig. 2c,pending_review,approved,,review_promoted_candidate
184,409,row import superseded by grounded record,0,HOPG,"[P4,4,4,1][TFSI]",0.018,1 V,6,298 K,18,75,Supporting Information for Potential-Dependent Superlubricity of Ionic Liquids on a Graphite Surface,Fig. 2D,Row 135,Fig. 2d,pending_review,approved,,review_promoted_candidate
185,408,row import superseded by grounded record,0,HOPG,"[P4,4,4,1][TFSI]",0.018,0 V,6,298 K,18,75,Supporting Information for Potential-Dependent Superlubricity of Ionic Liquids on a Graphite Surface,Fig. 2D,Row 136,Fig. 2d,pending_review,approved,,review_promoted_candidate
186,410,row import superseded by grounded record,0,HOPG,"[P4,4,4,1][TFSI]",0.018,-1 V,6,298 K,18,75,Supporting Information for Potential-Dependent Superlubricity of Ionic Liquids on a Graphite Surface,Fig. 2D,Row 137,Fig. 2d,pending_review,approved,,review_promoted_candidate
187,333,row import superseded by grounded record,0,Au(111),[Pyr14][FAP],0.19,-2 V,6,298 K,19,67,Supporting Information for Control of Nanoscale Friction on Gold in an Ionic Liquid by a Potential-Dependent Ionic Lubricant Layer,Fig. 2,Row 138,Fig. 2,pending_review,approved,cached_record,review_promoted_candidate
