iter	RMSE
0	0.9262384826
1	0.907978232
2	0.8955837631
3	0.8786131708
4	0.862118217
5	0.8466287518
6	0.8361158964
7	0.8197596027
8	0.8063150538
9	0.7962173034
10	0.7814846664
11	0.7674844518
12	0.754116025
13	0.7410424176
14	0.7277559192
15	0.7152409192
16	0.7033037209
17	0.6916094714
18	0.6846715732
19	0.6729189654
20	0.6626601921
21	0.6575591968
22	0.6477594388
23	0.6392532252
24	0.628517877
25	0.6206226396
26	0.6114644405
27	0.603668764
28	0.5942818323
29	0.5860973509
30	0.5779021693
31	0.5708782916
32	0.5658559551
33	0.562387843
34	0.555097978
35	0.5483796553
36	0.544051505
37	0.5374023751
38	0.5303843379
39	0.5239965704
40	0.5168764129
41	0.5114927528
42	0.5039467724
43	0.4991080939
44	0.4942489979
45	0.4867408846
46	0.4842559647
47	0.4798937637
48	0.4760243173
49	0.471314309
50	0.4667514601
51	0.4618566738
52	0.4572808799
53	0.4535060159
54	0.4495008107
55	0.4455833975
56	0.4424742987
57	0.4395969848
58	0.4336842352
59	0.4311879457
60	0.426065528
61	0.423303284
62	0.4200194743
63	0.4161700811
64	0.4107727058
65	0.4084744689
66	0.4051602089
67	0.4014490694
68	0.399722495
69	0.3971248932
70	0.3942021782
71	0.3900468633
72	0.387734002
73	0.3851149092
74	0.3811601594
75	0.3784390642
76	0.3747033874
77	0.3711732892
78	0.3682347055
79	0.3645519062
80	0.3604978604
81	0.358457659
82	0.3566084353
83	0.3532635371
84	0.3508918693
85	0.3473581454
86	0.3442997872
87	0.3437243322
88	0.3413053477
89	0.3392743995
90	0.3365194708
91	0.3345997033
92	0.3307945446
93	0.3280104934
94	0.3261009577
95	0.3243121161
96	0.3228022385
97	0.3200066395
98	0.3183644575
99	0.3158346323
100	0.312553258
101	0.3113112151
102	0.3098790198
103	0.3087123909
104	0.3070769827
105	0.3057692633
106	0.3042383074
107	0.3035767324
108	0.3003006982
109	0.2967685394
110	0.2950583913
111	0.2926215062
112	0.2917999435
113	0.2896510462
114	0.2878068613
115	0.2851207151
116	0.2831498787
117	0.2803009991
118	0.2784573953
119	0.2762019321
120	0.2743704195
121	0.2728004393
122	0.2700065755
123	0.2673323733
124	0.2657312781
125	0.2637178236
126	0.2626469823
127	0.2608870514
128	0.2596137939
129	0.2578919108
130	0.2564669181
131	0.2548718999
132	0.2538952991
133	0.25269608
134	0.2507052336
135	0.2490353867
136	0.2483019429
137	0.246736652
138	0.2460959008
139	0.2454240742
140	0.2441610215
141	0.2427633218
142	0.2407449123
143	0.2389965846
144	0.2376872105
145	0.2363730246
146	0.2351890972
147	0.2327137239
148	0.2311636029
149	0.2307743188
150	0.2293082272
151	0.2287400388
152	0.2272466468
153	0.2261497171
154	0.2243900512
155	0.2227852144
156	0.2219343763
157	0.2211687399
158	0.2195520143
159	0.2190770779
160	0.2177368879
161	0.2166467026
162	0.2151297166
163	0.2135542944
164	0.2127230344
165	0.2120754891
166	0.2110998882
167	0.210687752
168	0.2093887816
169	0.2079667094
170	0.2066457229
171	0.2056776547
172	0.2054191998
173	0.2041089611
174	0.2030286164
175	0.20212032
176	0.2004655323
177	0.19905028
178	0.1976014526
179	0.1960166388
180	0.1955283667
