iter	Passed	Remaining
0	0	114
1	0	95
2	0	88
3	0	84
4	0	82
5	0	80
6	0	79
7	0	79
8	0	77
9	0	76
10	1	75
11	1	75
12	1	75
13	1	74
14	1	73
15	1	73
16	1	72
17	1	72
18	1	72
19	1	72
20	1	72
21	2	72
22	2	72
23	2	72
24	2	92
25	3	92
26	3	91
27	3	90
28	3	89
29	3	88
30	3	87
31	3	87
32	3	86
33	3	85
34	4	87
35	4	87
36	4	86
37	4	85
38	4	84
39	4	84
40	4	83
41	4	83
42	4	84
43	4	84
44	5	84
45	5	85
46	5	85
47	5	85
48	6	94
49	6	96
50	6	96
51	6	96
52	6	95
53	6	95
54	6	94
55	7	94
56	7	93
57	7	92
58	7	92
59	7	92
60	7	91
61	7	91
62	7	90
63	7	90
64	7	89
65	8	89
66	8	88
67	8	88
68	8	88
69	8	87
70	8	87
71	8	86
72	8	86
73	8	85
74	8	85
75	8	84
76	8	84
77	9	83
78	9	83
79	9	83
80	9	83
81	9	83
82	9	82
83	10	87
84	10	87
85	10	86
86	10	86
87	10	86
88	10	86
89	10	85
90	10	85
91	11	84
92	11	84
93	11	84
94	11	83
95	11	83
96	11	83
97	11	82
98	11	82
99	11	82
100	11	82
101	11	81
102	12	81
103	12	81
104	12	80
105	12	80
106	12	80
107	12	80
108	12	79
109	12	79
110	12	79
111	12	79
112	12	78
113	13	78
114	13	78
115	13	77
116	13	77
117	13	77
118	13	77
119	13	77
120	13	76
121	13	77
122	13	76
123	14	76
124	14	76
125	14	76
126	14	76
127	14	76
128	14	76
129	14	76
130	14	75
131	14	75
132	15	75
133	15	75
134	15	75
135	15	75
136	15	75
137	15	75
138	16	79
139	16	78
140	16	78
141	16	78
142	16	78
143	17	77
144	17	77
145	17	77
146	17	77
147	17	77
148	17	77
149	17	77
150	17	77
151	18	77
152	18	76
153	18	76
154	18	76
155	18	76
156	18	76
157	18	75
158	18	75
159	18	75
160	18	75
161	19	74
162	19	74
163	19	74
164	19	74
165	19	74
166	19	74
167	20	76
168	20	76
169	20	76
170	20	75
171	20	75
172	20	75
173	20	75
174	21	75
175	21	74
176	21	74
177	21	74
178	21	74
179	21	73
180	21	73
181	21	73
182	21	73
183	21	73
184	22	73
185	22	73
186	22	73
187	22	72
188	22	72
189	22	72
190	22	72
191	22	71
192	22	71
193	22	71
194	23	71
195	23	71
196	23	70
197	24	73
198	24	73
199	24	73
200	25	74
201	25	74
202	25	74
203	25	74
204	25	74
205	25	74
206	25	74
207	25	73
208	26	73
209	26	73
210	26	73
211	26	73
212	26	72
213	26	72
214	26	72
215	26	72
216	26	72
217	26	71
218	26	71
219	27	71
220	27	71
221	27	70
222	27	70
223	27	70
224	27	70
225	27	70
226	27	69
227	27	69
228	27	69
229	27	69
230	28	69
231	28	68
232	28	68
233	28	68
234	28	68
235	28	68
236	28	67
237	28	67
238	28	67
239	28	67
240	29	67
241	29	67
242	29	67
243	30	68
244	30	68
245	30	68
246	30	68
247	30	68
248	30	67
249	30	67
250	30	67
251	31	67
252	31	67
253	31	67
254	31	66
255	31	66
256	31	66
257	31	66
258	31	66
259	31	65
260	31	65
261	31	65
262	32	65
263	32	65
264	32	65
265	32	64
266	32	64
267	32	64
268	32	64
269	32	64
270	33	64
271	33	64
272	33	64
273	33	64
274	33	64
275	33	63
276	33	63
277	33	63
278	34	63
279	34	63
280	34	63
281	34	63
282	34	63
283	34	63
284	34	62
285	34	62
286	35	63
287	35	63
288	35	63
289	36	63
290	36	63
291	36	63
292	36	62
293	36	62
294	36	62
295	36	62
296	36	62
297	36	61
298	36	61
299	36	61
300	37	61
301	37	61
302	37	61
303	37	60
304	37	60
305	37	60
306	37	60
307	37	60
308	37	59
309	37	59
310	37	59
311	38	59
312	38	59
313	38	59
314	38	58
315	38	58
316	38	58
317	38	58
318	38	58
319	38	58
320	38	58
321	39	57
322	39	57
323	39	57
324	39	57
325	39	57
326	39	57
327	39	57
328	39	56
329	39	56
330	40	56
331	40	56
332	40	56
333	40	56
334	40	56
335	40	55
336	40	55
337	40	55
338	40	55
339	40	55
340	41	55
341	41	55
