Cation,anion,compound,surface,h,r_cat,logP_cat,MW_cat,N_rot_cat,velocity,I_ss,Potential,MW_an,Bertz_cat,r_an,N_qN_cat,σ_s,γ_s,TPSA_an,Rq,TPSA_cat,BalJ_cat,logP_an,θ_s,I_H2O,T,x_IL,N_HA_cat,Bertz_an,BalJ_an,μ
[BMIm]+,[BF4]-,zero,HOPG,2.2,3.310978931,1.1127,139.222,3,1,0,-2,86.804,190.8925906,2.328453731,0,0.05,-0.0002,0.0,51.0,8.81,2.422977778,1.3,85,0,298,100,1,19.11941548,3.023715784,0.0065
[BMIm]+,[BF4]-,zero,HOPG,2.3,3.310978931,1.1127,139.222,3,1,0,-1,86.804,190.8925906,2.328453731,0,0.05,-0.0002,0.0,51.0,8.81,2.422977778,1.3,85,0,298,100,1,19.11941548,3.023715784,0.0073
[BMIm]+,[BF4]-,zero,HOPG,3.3,3.310978931,1.1127,139.222,3,1,0,0,86.804,190.8925906,2.328453731,0,0.05,-0.0002,0.0,51.0,8.81,2.422977778,1.3,85,0,298,100,1,19.11941548,3.023715784,0.0087
[BMIm]+,[BF4]-,zero,HOPG,2.8,3.310978931,1.1127,139.222,3,1,0,1,86.804,190.8925906,2.328453731,0,0.05,-0.0002,0.0,51.0,8.81,2.422977778,1.3,85,0,298,100,1,19.11941548,3.023715784,0.0051
[BMIm]+,[BF4]-,zero,HOPG,2.6,3.310978931,1.1127,139.222,3,1,0,2,86.804,190.8925906,2.328453731,0,0.05,-0.0002,0.0,51.0,8.81,2.422977778,1.3,85,0,298,100,1,19.11941548,3.023715784,0.0042
"[N8,8,8,16]+",[AOT]-,zero,HOPG,6.3,5.519612657,14.366,579.119,36,1,0,0,421.576,416.9431844,4.637037402,1,0.05,-0.0002,109.8,0.724,0.0,4.534066535,3.8095,85,0,298,100,0,544.7574562,4.726289834,0.0036
[OMIM]+,[PF6]-,zero,HOPG,3.3,3.839836455,3.4558,209.357,7,1,0,0,144.962,218.5758426,2.529372901,0,0.05,-0.0002,0.0,0.724,15.37,1.984394295,3.3824,85,0,298,100,1,62.74506838,4.431293675,0.0021
[BMIm]+,[PF6]-,zero,HOPG,1.8,3.310978931,1.1127,139.222,3,1,0,0,144.962,190.8925906,2.529372901,0,0.05,-0.0002,0.0,0.724,8.81,2.422977778,3.3824,85,0,298,100,1,62.74506838,4.431293675,0.002
"[N8,8,8,12]+",[C8]-,zero,HOPG,4.0,5.336802987,12.8056,523.011,32,8,0,0,439.334,362.680978,4.686920113,1,0.05,-0.0002,105.2,0.724,0.0,4.688361724,4.3556,85,0,298,100,0,541.4906652,1.79847286,0.0068
"[N8,8,8,12]+",[C12]-,zero,HOPG,5.0,5.336802987,12.8056,523.011,32,8,0,0,551.55,362.680978,5.134185956,1,0.05,-0.0002,105.2,0.724,0.0,4.688361724,7.4764,85,0,298,100,0,653.7345362,1.621109857,0.012
