source_literature_key,source_literature_title,source_literature_path,source_literature_abs_path,source_literature_doi,source_match_confidence,source_match_status,source_match_rule,source_match_basis,source_match_notes,wff_dataset,wff_source_file,wff_row_number,source_path_exists,Cation,anion,compound,surface,h,r_cat,logP_cat,MW_cat,N_rot_cat,velocity,I_ss,Potential,MW_an,Bertz_cat,r_an,N_qN_cat,σ_s,γ_s,TPSA_an,Rq,TPSA_cat,BalJ_cat,logP_an,θ_s,I_H2O,T,x_IL,N_HA_cat,Bertz_an,BalJ_an,μ,friction_bin,cation_bin,stratify_label,original_index,friction_pred,friction_diff,error_flag,N_HD_cat
polymeric_2022,Interfacial nanostructure and friction of a polymeric ionic liquid-ionic liquid mixture as a function of potential at Au(111) electrode interface,reference/Lubrication/Extracted/Interfacial nanostructure and friction of a polymeric ionic liquid-ionic.pdf,/Users/julyanffzz/项目/Ioniclink/reference/Lubrication/Extracted/Interfacial nanostructure and friction of a polymeric ionic liquid-ionic.pdf,10.1016/j.jcis.2021.08.067,high,matched_local_reference,bmim_tfsi_polymeric_au,[BMIm]+ [TFSI]- / compound=zero / surface=Au(111) / potential=-1.0 / velocity=6.0,"BMIM TFSI and PIL/BMIM TFSI mixture on Au(111), matching the 2022 polymeric ionic-liquid mixture study.",film,film+dataset0312.csv,1,True,[BMIm]+,[TFSI]-,zero,Au(111),2.649913594,3.310978931,1.1127,139.222,3,6.0,0,-1.0,280.147,190.8925906,3.359227186,0,0.7,-0.02,82.38,1.0,8.81,2.422977778,1.0593,60.0,0,298,100.0,1,384.7328028,5.284512596,0.319,4.0,139.222,4_139.222,,,,,
bmim_surfaces_2022,Ionic liquids on uncharged and charged surfaces: in situ microstructures and nanofriction,reference/Lubrication/2022-Ionic liquids on uncharged and charged surfaces In situ.pdf,/Users/julyanffzz/项目/Ioniclink/reference/Lubrication/2022-Ionic liquids on uncharged and charged surfaces In situ.pdf,10.1007/s40544-021-0566-5,high,matched_local_reference,bmim_bf4_pf6_mica_hopg,[BMIm]+ [PF6]- / compound=zero / surface=mica / potential=0.0 / velocity=20.0,BMIM BF4/PF6 on uncharged mica and HOPG with in situ microstructures and nanofriction.,film,film+dataset0312.csv,2,True,[BMIm]+,[PF6]-,zero,mica,2.2,3.310978931,1.1127,139.222,3,20.0,0,0.0,144.962,190.8925906,2.529372901,0,1.77,-0.16,0.0,0.66,8.81,2.422977778,3.3824,0.0,0,298,100.0,1,62.74506838,4.431293675,0.1,2.0,139.222,2_139.222,,,,,
bmb_pc_2020,Electroresponsive structuring and friction of a non-halogenated ionic liquid in a polar solvent: effect of concentration,reference/Lubrication/3.10/2020-Rutland-Electroresponsive structuring and friction of a non-halogenated ionic liquid in a polar solvent effect of concentration.pdf,/Users/julyanffzz/项目/Ioniclink/reference/Lubrication/3.10/2020-Rutland-Electroresponsive structuring and friction of a non-halogenated ionic liquid in a polar solvent effect of concentration.pdf,10.1039/D0CP02736G,high,matched_local_reference,p66614_bmb_pc_au,"[P6,6,6,14]+ [BMB]- / compound=PC / surface=Au(111) / potential=-1.0 / velocity=6.0","Exact P6,6,6,14 BMB in propylene carbonate on Au(111), matching the 2020 electroresponsive PC/gold paper.",film,film+dataset0312.csv,3,True,"[P6,6,6,14]+",[BMB]-,PC,Au(111),2.9,5.174799948,12.446,483.87,28,6.0,0,-1.0,311.078,319.1282666,3.97427778,0,0.7,-0.02,71.06,0.835,0.0,4.337445108,2.0514,60.0,0,298,3.1,0,682.1804819,1.591434542,0.0881,2.0,483.87,2_483.87,,,,,
bmim_surfaces_2022,Ionic liquids on uncharged and charged surfaces: in situ microstructures and nanofriction,reference/Lubrication/2022-Ionic liquids on uncharged and charged surfaces In situ.pdf,/Users/julyanffzz/项目/Ioniclink/reference/Lubrication/2022-Ionic liquids on uncharged and charged surfaces In situ.pdf,10.1007/s40544-021-0566-5,high,matched_local_reference,bmim_bf4_pf6_mica_hopg,[BMIm]+ [BF4]- / compound=zero / surface=HOPG / potential=0.0 / velocity=20.0,BMIM BF4/PF6 on uncharged mica and HOPG with in situ microstructures and nanofriction.,film,film+dataset0312.csv,4,True,[BMIm]+,[BF4]-,zero,HOPG,3.9,3.310978931,1.1127,139.222,3,20.0,0,0.0,86.804,190.8925906,2.328453731,0,0.05,-0.0002,0.0,0.89,8.81,2.422977778,1.3,85.0,0,298,100.0,1,19.11941548,3.023715784,0.0028,0.0,139.222,0_139.222,,,,,
bmb_pc_2020,Electroresponsive structuring and friction of a non-halogenated ionic liquid in a polar solvent: effect of concentration,reference/Lubrication/3.10/2020-Rutland-Electroresponsive structuring and friction of a non-halogenated ionic liquid in a polar solvent effect of concentration.pdf,/Users/julyanffzz/项目/Ioniclink/reference/Lubrication/3.10/2020-Rutland-Electroresponsive structuring and friction of a non-halogenated ionic liquid in a polar solvent effect of concentration.pdf,10.1039/D0CP02736G,high,matched_local_reference,p66614_bmb_pc_au,"[P6,6,6,14]+ [BMB]- / compound=PC / surface=Au(111) / potential=0.25 / velocity=12.0","Exact P6,6,6,14 BMB in propylene carbonate on Au(111), matching the 2020 electroresponsive PC/gold paper.",film,film+dataset0312.csv,5,True,"[P6,6,6,14]+",[BMB]-,PC,Au(111),2.83,5.174799948,12.446,483.87,28,12.0,0,0.25,311.078,319.1282666,3.97427778,0,0.7,-0.02,71.06,0.835,0.0,4.337445108,2.0514,60.0,0,298,0.67,0,682.1804819,1.591434542,0.1162,3.0,483.87,3_483.87,,,,,
polymeric_2022,Interfacial nanostructure and friction of a polymeric ionic liquid-ionic liquid mixture as a function of potential at Au(111) electrode interface,reference/Lubrication/Extracted/Interfacial nanostructure and friction of a polymeric ionic liquid-ionic.pdf,/Users/julyanffzz/项目/Ioniclink/reference/Lubrication/Extracted/Interfacial nanostructure and friction of a polymeric ionic liquid-ionic.pdf,10.1016/j.jcis.2021.08.067,high,matched_local_reference,bmim_tfsi_polymeric_au,[BMIm]+ [TFSI]- / compound=zero / surface=Au(111) / potential=1.0 / velocity=6.0,"BMIM TFSI and PIL/BMIM TFSI mixture on Au(111), matching the 2022 polymeric ionic-liquid mixture study.",film,film+dataset0312.csv,6,True,[BMIm]+,[TFSI]-,zero,Au(111),1.24452765,3.310978931,1.1127,139.222,3,6.0,0,1.0,280.147,190.8925906,3.359227186,0,0.7,-0.02,82.38,1.0,8.81,2.422977778,1.0593,60.0,0,298,100.0,1,384.7328028,5.284512596,0.299,4.0,139.222,4_139.222,,,,,
bmim_surfaces_2022,Ionic liquids on uncharged and charged surfaces: in situ microstructures and nanofriction,reference/Lubrication/2022-Ionic liquids on uncharged and charged surfaces In situ.pdf,/Users/julyanffzz/项目/Ioniclink/reference/Lubrication/2022-Ionic liquids on uncharged and charged surfaces In situ.pdf,10.1007/s40544-021-0566-5,high,matched_local_reference,bmim_bf4_pf6_mica_hopg,[BMIm]+ [PF6]- / compound=zero / surface=HOPG / potential=0.0 / velocity=20.0,BMIM BF4/PF6 on uncharged mica and HOPG with in situ microstructures and nanofriction.,film,film+dataset0312.csv,7,True,[BMIm]+,[PF6]-,zero,HOPG,4.4,3.310978931,1.1127,139.222,3,20.0,0,0.0,144.962,190.8925906,2.529372901,0,0.05,-0.0002,0.0,0.89,8.81,2.422977778,3.3824,85.0,0,298,100.0,1,62.74506838,4.431293675,0.0023,0.0,139.222,0_139.222,,,,,
polymeric_2022,Interfacial nanostructure and friction of a polymeric ionic liquid-ionic liquid mixture as a function of potential at Au(111) electrode interface,reference/Lubrication/Extracted/Interfacial nanostructure and friction of a polymeric ionic liquid-ionic.pdf,/Users/julyanffzz/项目/Ioniclink/reference/Lubrication/Extracted/Interfacial nanostructure and friction of a polymeric ionic liquid-ionic.pdf,10.1016/j.jcis.2021.08.067,high,matched_local_reference,bmim_tfsi_polymeric_au,[BMIm]+ [TFSI]- / compound=zero / surface=Au(111) / potential=1.0 / velocity=6.0,"BMIM TFSI and PIL/BMIM TFSI mixture on Au(111), matching the 2022 polymeric ionic-liquid mixture study.",film,film+dataset0312.csv,8,True,[BMIm]+,[TFSI]-,zero,Au(111),0.485455069,3.310978931,1.1127,139.222,3,6.0,0,1.0,280.147,190.8925906,3.359227186,0,0.7,-0.02,82.38,1.0,8.81,2.422977778,1.0593,60.0,0,298,100.0,1,384.7328028,5.284512596,0.119,3.0,139.222,3_139.222,,,,,
protic_2014,Effect of ion structure on nanoscale friction in protic ionic liquids,reference/Lubrication/Extracted/2014-Rutland-Effect of ion structure on nanoscale friction in protic ionic liquids.pdf,/Users/julyanffzz/项目/Ioniclink/reference/Lubrication/Extracted/2014-Rutland-Effect of ion structure on nanoscale friction in protic ionic liquids.pdf,,high,matched_local_reference,protic_ion_structure_2014,[DMEA]+ [F]- / compound=zero / surface=mica / potential=0.0 / velocity=30.0,"Protic ionic-liquid ion-structure series on mica/silica, covering EA/PA/DMEA/EtA nitrate/formate systems.",film,film+dataset0312.csv,9,True,[DMEA]+,[F]-,zero,mica,0.445396146,2.824148313,-0.8492,74.147,1,30.0,0,0.0,45.017,17.60964047,2.091441062,1,1.77,-0.16,40.13,0.0569,4.44,2.539538861,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,0.607594937,5.0,74.147,5_74.147,,,,,
graphite_2021,Potential-Dependent Superlubricity of Ionic Liquids on a Graphite Surface,reference/Lubrication/2021-atkin-potential-dependent-superlubricity-of-ionic-liquids-on-a-graphite-surface.pdf,/Users/julyanffzz/项目/Ioniclink/reference/Lubrication/2021-atkin-potential-dependent-superlubricity-of-ionic-liquids-on-a-graphite-surface.pdf,10.1021/acs.jpcc.0c10804,high,matched_local_reference,phosphonium_hopg_graphite,"[P6,6,6,14]+ [BEHP]- / compound=zero / surface=HOPG / potential=0.0 / velocity=6.0",HOPG phosphonium ionic-liquid comparison series from the graphite potential-dependent superlubricity paper.,film,film+dataset0312.csv,10,True,"[P6,6,6,14]+",[BEHP]-,zero,HOPG,3.7,5.174799948,12.446,483.87,28,6.0,0,0.0,321.418,319.1282666,4.32349866,0,0.05,-0.0002,58.59,0.89,0.0,4.337445108,4.9208,85.0,0,298,100.0,0,259.4505415,4.075382025,0.012,0.0,483.87,0_483.87,,,,,
