Cation,anion,compound,surface,Potential,TPSA_cat,Bertz_cat,N_HD_cat,γ_s,Rq,r_cat,N_HA_cat,N_rot_cat,σ_s,x_IL,I_H2O,I_ss,TPSA_an,BalJ_cat,θ_s,MW_an,MW_cat,r_an,T,N_qN_cat,Bertz_an,velocity,logP_cat,logP_an,BalJ_an,μ,friction_bin,cation_bin,stratify_label,original_index,friction_pred,friction_diff,error_flag
[EtA]+,[N]-,zero,mica,0.0,47.87,8.0,2,-0.16,0.0569,2.543129445,1,1,1.77,100.0,0,0,66.2,1.974744871,0.0,62.004,62.092,2.192174955,298,1,26.26466251,20.0,-1.7794,-0.2391,2.803039488,0.670886076,6.0,62.092,6_62.092,0.0,0.670886099729592,2.3729591958066013e-08,
"[P6,6,6,14]+",[AOT]-,zero,stainless steel,0.24,0.0,319.1282666,0,0.01,0.9,5.174799948,0,28,0.07,100.0,0,1,109.8,4.337445108,72.0,421.576,483.87,4.637037402,298,0,544.7574562,6.0,12.446,3.8095,4.726289834,0.23,4.0,483.87,4_483.87,1.0,0.2300000038947693,3.894769340373472e-09,
"[P6,6,6,14]+",[BScB]-,DEGDBE,titanium,0.0,0.0,319.1282666,0,0.005,61.15,5.174799948,0,28,0.5,0.0143,0,0,71.06,4.337445108,60.0,283.024,483.87,3.79978343,298,0,706.0644789,20.0,12.446,1.9208,1.781315888,0.1,2.0,483.87,2_483.87,2.0,0.1050000003981984,0.0050000003981984,
[Li(G4)]+,[TFSI]-,zero,Au(111),-1.0,46.15,103.3825112,0,-0.02,1.0,3.859895249,5,12,0.7,100.0,0,0,82.38,0.0,60.0,280.147,229.222,3.359227186,298,0,384.7328028,6.0,-2.667,1.0593,5.284512596,0.059,1.0,229.222,1_229.222,3.0,0.0589999997029607,2.970392820600409e-10,
[PA]+,[F]-,zero,mica,0.0,27.64,5.245112498,1,-0.16,0.0569,2.642365161,0,1,1.77,100.0,0,0,40.13,1.974744871,0.0,45.017,60.12,2.091441062,298,1,10.26466251,30.0,-0.3617,-1.6339,2.187496097,1.017721519,7.0,60.12,7_60.12,4.0,1.0177215317771675,1.2777167768263098e-08,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),0.25,0.0,319.1282666,0,-0.02,0.835,5.174799948,0,28,0.7,3.1,0,0,71.06,4.337445108,60.0,311.078,483.87,3.97427778,298,0,682.1804819,6.0,12.446,2.0514,1.591434542,0.1314,3.0,483.87,3_483.87,5.0,0.1314000047623754,4.762375466205171e-09,
"[P6,6,6,14]+",[(iC8)2PO2]-,hexadecane,Au(111),0.1,0.0,319.1282666,0,-0.02,1.0,5.174799948,0,28,0.7,100.0,0,0,40.13,4.337445108,60.0,289.42,483.87,4.246635376,298,0,281.6910727,6.5,12.446,4.7694,4.359263597,0.478,6.0,483.87,6_483.87,6.0,0.477999985831257,1.4168742956677253e-08,
"[P6,6,6,14]+",[AOT]-,(CH2CO2Et)2,stainless steel,-0.76,0.0,319.1282666,0,0.01,0.9,5.174799948,0,28,0.07,1.002,0,1,109.8,4.337445108,72.0,421.576,483.87,4.637037402,298,0,544.7574562,6.0,12.446,3.8095,4.726289834,0.57,6.0,483.87,6_483.87,7.0,0.569999992704453,7.2955469443414245e-09,
[EA]+,[F]-,zero,mica,0.0,27.64,2.754887502,1,-0.16,0.0569,2.431285504,0,0,1.77,100.0,0,0,40.13,1.632993162,0.0,45.017,46.093,2.091441062,298,1,10.26466251,10.0,-0.7518,-1.6339,2.187496097,1.083544304,7.0,46.093,7_46.093,8.0,1.0835442560368844,4.796311547927701e-08,
"[P6,6,6,14]+",[(iC8)2PO2]-,hexadecane,Au(111),-1.0,0.0,319.1282666,0,-0.02,1.0,5.174799948,0,28,0.7,10.0,0,0,40.13,4.337445108,60.0,289.42,483.87,4.246635376,298,0,281.6910727,6.5,12.446,4.7694,4.359263597,0.079,2.0,483.87,2_483.87,9.0,0.0790000015695742,1.5695742067167724e-09,
